"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Indian rosewood","Dalbergia latifolia","Phoenix","Arizona",24.5,6.4,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indian rosewood","Dalbergia latifolia","Phoenix","Arizona",11.5,8,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Pink flower peach tree","Prunus persica","Phoenix","Arizona",4.5,3.96,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Sour orange","Citrus aurantium","Phoenix","Arizona",2.343075,3.6,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Weeping bottle brush","Callistemon viminalis","Phoenix","Arizona",8.01561,3.57,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grapefruit","Citrus paradisi","Phoenix","Arizona",33.5361,5.53,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Orange","Citrus aurantium","Phoenix","Arizona",21.244529,6.82,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Palo brea","Cercidium floridum","Phoenix","Arizona",24.183465,7.49,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grape fruit","Citrus paradisi","Phoenix","Arizona",6.874045,3.58,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mediterranean fan palm","Chamaerops humilis","Phoenix","Arizona",14.25,2.8,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mesquite","Prosopis","Phoenix","Arizona",29.154759,6.9,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",23,9.12,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"","Citrus","Phoenix","Arizona",8.046117,4.2,"no_info","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"","Ficus microcarpa","Phoenix","Arizona",15.101738,5.8,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Blue palo verde","Cercidium floridum","Phoenix","Arizona",16.724234,6.42,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tree brazilian pepper","Schinus terebinthifolia","Phoenix","Arizona",5.220153,3.27,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
